Date,Open,High,Low,Close,Adj Close,Volume
2019-08-19,292.190002,293.079987,291.440002,292.329987,270.190277,53571800
2019-08-20,291.769989,292.359985,289.950012,290.089996,268.119934,51596400
2019-08-21,292.480011,292.859985,291.720001,292.450012,270.301208,49524700
2019-08-22,293.230011,293.929993,290.399994,292.359985,270.217957,51666400
2019-08-23,290.920013,292.760010,283.470001,284.850006,263.276764,149161500
2019-08-26,287.269989,288.000000,285.579987,288.000000,266.188263,72423800
2019-08-27,289.540009,289.950012,286.029999,286.869995,265.143799,66668900
2019-08-28,286.140015,289.070007,285.250000,288.890015,267.010834,59696700
2019-08-29,291.720001,293.160004,290.609985,292.579987,270.421356,57899400
2019-08-30,294.220001,294.239990,291.420013,292.450012,270.301208,62901200
2019-09-03,290.570007,291.579987,289.269989,290.739990,268.720795,69101400
2019-09-04,293.140015,294.059998,292.309998,294.040009,271.770844,46887300
2019-09-05,296.790009,298.829987,294.000000,297.820007,275.264526,83258100
2019-09-06,298.170013,298.760010,297.420013,298.049988,275.477051,49584300
2019-09-09,299.140015,299.239990,297.160004,298.200012,275.615784,51260300
2019-09-10,297.359985,298.200012,295.970001,298.130005,275.551056,57947100
2019-09-11,298.470001,300.339996,297.750000,300.250000,277.510498,68821100
2019-09-12,301.250000,302.459991,300.410004,301.290009,278.471710,72908700
2019-09-13,301.779999,302.170013,300.679993,301.089996,278.286835,62104800
2019-09-16,299.839996,301.140015,299.450012,300.160004,277.427338,58191200
2019-09-17,299.940002,301.019989,299.750000,300.920013,278.129791,41475500
2019-09-18,300.489990,301.220001,298.239990,301.100006,278.296112,73375800
2019-09-19,301.529999,302.630005,300.709991,301.079987,278.277557,76560500
2019-09-20,300.359985,300.670013,297.410004,298.279999,276.962769,89565000
2019-09-23,297.549988,299.000000,297.269989,298.209991,276.897797,43476800
2019-09-24,299.410004,299.839996,294.809998,295.869995,274.725067,94869400
2019-09-25,295.959991,298.109985,294.329987,297.619995,276.350006,71854000
2019-09-26,297.630005,297.859985,295.450012,297.000000,275.774292,56179700
2019-09-27,297.829987,297.950012,293.690002,295.399994,274.288574,84746600
2019-09-30,295.970001,297.549988,295.920013,296.769989,275.560730,51662400
2019-10-01,297.739990,298.459991,293.000000,293.239990,272.282928,88242400
2019-10-02,291.500000,291.510010,286.640015,288.059998,267.473145,122539500
2019-10-03,287.809998,290.450012,284.820007,290.420013,269.664581,85278800
2019-10-04,291.140015,294.630005,291.079987,294.350006,273.313721,65091200
2019-10-07,293.470001,295.260010,292.769989,293.079987,272.134491,59610500
2019-10-08,291.040009,291.850006,288.489990,288.529999,267.909607,95708100
